"No.";"Name";"Country";"Url"
"72";"Aljezur";"Portugal";"https://kriegsgraeberstaetten.volksbund.de/friedhof/aljezur"
"73";"Alkischken / Alkiskai";"Litauen";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alkischken-alkiskai"
"74";"Allenbach, Gemeindefriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/allenbach-gemeindefriedhof"
"75";"Allenstein / Olsztyn-ul.Kozlewskiego";"Polen";"https://kriegsgraeberstaetten.volksbund.de/friedhof/allenstein-olsztyn-ulkozlewskiego"
"76";"Allenstein Jakobsberg/ Olsztyn";"Polen";"https://kriegsgraeberstaetten.volksbund.de/friedhof/allenstein-jakobsberg-olsztyn"
"77";"Allentsteig";"Österreich";"https://kriegsgraeberstaetten.volksbund.de/friedhof/allentsteig"
"78";"Allersberg";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/allersberg"
"79";"Allinge";"Dänemark";"https://kriegsgraeberstaetten.volksbund.de/friedhof/allinge"
"80";"Alma-Ata / Alm-Ati";"Kasachstan";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alma-ata-alm-ati"
"81";"Almstedt, Ev.- luth. Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/almstedt-ev-luth-friedhof"
"82";"Alpen-Gemeindefriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alpen-gemeindefriedhof"
"83";"Alpen-Menzelen";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alpen-menzelen"
"84";"Alpen-Veen";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alpen-veen"
"85";"Alsdorf-Hoengen-Jülicher Straße";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alsdorf-hoengen-juelicher-strasse"
"86";"Alsdorf-Hoengen-Marienstraße";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alsdorf-hoengen-marienstrasse"
"87";"Alsdorf-Nordfriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alsdorf-nordfriedhof"
"88";"Alsdorf-Warden";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alsdorf-warden"
"89";"Alsleben, Stadtfriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alsleben-stadtfriedhof"
"90";"Alstätte, katholischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alstaette-katholischer-friedhof"
"91";"Alt Fließdorf / Stare Juchy";"Polen";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alt-fliessdorf-stare-juchy"
"92";"Alt Hartmannsdorf";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alt-hartmannsdorf"
"93";"Alt Lappönen";"Russland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alt-lappoenen"
"94";"Alt Meteln, Friedhof - Kriegsgräberstätte";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alt-meteln-friedhof-kriegsgraeberstaette"
"95";"Alt Wulsdorf / Wulsdorf, Alt Wulsdorf";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alt-wulsdorf-wulsdorf-alt-wulsdorf"
"96";"Alt Zeschdorf, Gemeindefriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alt-zeschdorf-gemeindefriedhof"
"97";"Alt-Autz Schloss Auce";"Lettland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alt-autz-schloss-auce"
"98";"Alt-Grünwald";"Lettland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alt-gruenwald"
"99";"Alt-Kairo";"Ägypten";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alt-kairo"
"100";"Alt-Sauswalde";"Russland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alt-sauswalde"
"101";"Altbarnim, evangelischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altbarnim-evangelischer-friedhof"
"102";"Alten, Friedhof Neuhofenweg";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/alten-friedhof-neuhofenweg"
"103";"Altena-Altroggenrahmede-Evangelischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altena-altroggenrahmede-evangelischer-friedhof"
"104";"Altena-Dahle-Alter Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altena-dahle-alter-friedhof"
"105";"Altena-Dahle-Neuer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altena-dahle-neuer-friedhof"
"106";"Altena-Evangelisch Referormierter Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altena-evangelisch-referormierter-friedhof"
"107";"Altena-Evingsen-Evangelischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altena-evingsen-evangelischer-friedhof"
"108";"Altena-Evingsen-Katholischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altena-evingsen-katholischer-friedhof"
"109";"Altena-Jüdischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altena-juedischer-friedhof"
"110";"Altena-Katholischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altena-katholischer-friedhof"
"111";"Altena-Mühlendorf-Evangelich Lutherischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altena-muehlendorf-evangelich-lutherischer-friedhof"
"112";"Altena-Mühlenrahmede-Katholischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altena-muehlenrahmede-katholischer-friedhof"
"113";"Altenau, Ev.- luth. Gemeindefriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altenau-ev-luth-gemeindefriedhof"
"114";"Altenbeken-Buke";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altenbeken-buke"
"115";"Altenbeken-Gemeindefriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altenbeken-gemeindefriedhof"
"116";"Altenbeken-Schwaney";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altenbeken-schwaney"
"117";"Altenberge-Hanseller Strasse";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altenberge-hanseller-strasse"
"118";"Altenmedingen, Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altenmedingen-friedhof"
"119";"Altensalzwedel, Gemeindefriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altensalzwedel-gemeindefriedhof"
"120";"Altentreptow, städtischer Friedhof - Kriegsgräberstätte";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altentreptow-staedtischer-friedhof-kriegsgraeberstaette"
"121";"Altenweddingen, Friedhof Unseburger Weg";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altenweddingen-friedhof-unseburger-weg"
"122";"Altfriedland, Kommunalfriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altfriedland-kommunalfriedhof"
"123";"Altglietzen";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altglietzen"
"124";"Althaldensleben, Fdh. Hinzebergstraße / Haldensleben,Althaldensleben,Hinzebergs.";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/althaldensleben-fdh-hinzebergstrasse-haldenslebenalthaldenslebenhinzebergs"
"125";"Altlandsberg, Stadtfriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altlandsberg-stadtfriedhof"
"126";"Altlangsow / Langsow, Kommunalfriedhof Altlangsow";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altlangsow-langsow-kommunalfriedhof-altlangsow"
"127";"Altlewin";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altlewin"
"128";"Altlußheim";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altlussheim"
"129";"Altmädewitz";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altmaedewitz"
"130";"Altona";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altona"
"131";"Altreetz";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altreetz"
"132";"Altwriezen";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/altwriezen"
"133";"Amel-sur-l'Etang";"Frankreich";"https://kriegsgraeberstaetten.volksbund.de/friedhof/amel-sur-letang"
"134";"Amelinghausen, Neuer Ev.- luth. Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/amelinghausen-neuer-ev-luth-friedhof"
"135";"Ammerschwihr";"Frankreich";"https://kriegsgraeberstaetten.volksbund.de/friedhof/ammerschwihr"
"136";"Amöneburg-Rossdorf";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/amoeneburg-rossdorf"
"137";"Amorbach";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/amorbach"
"138";"Amtshagen";"Russland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/amtshagen"
"139";"Amwrosijiwka";"Ukraine";"https://kriegsgraeberstaetten.volksbund.de/friedhof/amwrosijiwka"
"140";"Andechy";"Frankreich";"https://kriegsgraeberstaetten.volksbund.de/friedhof/andechy"
"141";"Anderlingen - Ohrel, Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anderlingen-ohrel-friedhof"
"142";"Anderlingen, Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anderlingen-friedhof"
"143";"Andilly";"Frankreich";"https://kriegsgraeberstaetten.volksbund.de/friedhof/andilly"
"144";"Angerapp";"Russland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/angerapp"
"145";"Angerburg Jägerhöhe/ Wegorzewo";"Polen";"https://kriegsgraeberstaetten.volksbund.de/friedhof/angerburg-jaegerhoehe-wegorzewo"
"146";"Angermünde-Steinhöfel";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/angermuende-steinhoefel"
"147";"Angermünde-Steinhöfel/Neuhaus";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/angermuende-steinhoefelneuhaus"
"148";"Angermünde, städtischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/angermuende-staedtischer-friedhof"
"149";"Angra do Heroismo";"Portugal";"https://kriegsgraeberstaetten.volksbund.de/friedhof/angra-do-heroismo"
"150";"Anklam, Alter Friedhof - Bombenopfer";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anklam-alter-friedhof-bombenopfer"
"151";"Anklam, Alter Friedhof - Kriegsgräberstätte";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anklam-alter-friedhof-kriegsgraeberstaette"
"152";"Anklam, Friedhof - Soldatenfriedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anklam-friedhof-soldatenfriedhof"
"153";"Anklam, Sowj.Fdh. 'Am Krankenhaus'";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anklam-sowjfdh-am-krankenhaus"
"154";"Ankum, Kriegsgräberstätte auf der Domburg";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/ankum-kriegsgraeberstaette-auf-der-domburg"
"155";"Anloy-Heide";"Belgien";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anloy-heide"
"156";"Annoeullin";"Frankreich";"https://kriegsgraeberstaetten.volksbund.de/friedhof/annoeullin"
"157";"Anröchte-Altengeseke-Katholischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anroechte-altengeseke-katholischer-friedhof"
"158";"Anröchte-Effeln";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anroechte-effeln"
"159";"Anröchte-Katholischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anroechte-katholischer-friedhof"
"160";"Anröchte-Mellrich-Katholischer Friedhof";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anroechte-mellrich-katholischer-friedhof"
"161";"Ansbach";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/ansbach"
"162";"Anshero Sudshensk I";"Russland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anshero-sudshensk-i"
"163";"Anthrazit III";"Ukraine";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anthrazit-iii"
"164";"Anthrazit-Zentralno-Bokiwskiji";"Ukraine";"https://kriegsgraeberstaetten.volksbund.de/friedhof/anthrazit-zentralno-bokiwskiji"
"165";"Antweiler, Gemeindefdh.";"Deutschland";"https://kriegsgraeberstaetten.volksbund.de/friedhof/antweiler-gemeindefdh"
